Node ID,X Coordinate,Y Coordinate,DOF ID
411,0.810899,0.394601,410
412,0.752447,0.404549,411
413,0.804894,0.429098,412
414,0.750616,0.452178,413
415,0.801231,0.464357,414
416,0.,0.133333,415
417,0.,0.0666667,416
418,0.,0.,417
419,0.0583333,0.,418
420,0.116667,0.,419
421,0.175,0.,420
422,0.233333,0.,421
423,0.291667,0.,422
424,0.35,0.,423
425,0.408333,0.,424
426,0.466667,0.,425
427,0.525,0.,426
428,0.583333,0.,427
429,0.641667,0.,428
430,0.641667,0.0666667,429
431,0.641667,0.133333,430
432,0.583333,0.0666667,431
433,0.583333,0.133333,432
434,0.525,0.0666667,433
435,0.525,0.133333,434
436,0.466667,0.0666667,435
437,0.466667,0.133333,436
438,0.408333,0.0666667,437
439,0.408333,0.133333,438
440,0.35,0.0666667,439
441,0.35,0.133333,440
442,0.291667,0.0666667,441
443,0.291667,0.133333,442
444,0.233333,0.0666667,443
445,0.233333,0.133333,444
446,0.175,0.0666667,445
447,0.175,0.133333,446
448,0.116667,0.0666667,447
449,0.116667,0.133333,448
450,0.0583333,0.0666667,449
451,0.0583333,0.133333,450
452,0.641667,0.8,451
453,0.583333,0.8,452
454,0.525,0.8,453
455,0.466667,0.8,454
456,0.408333,0.8,455
457,0.35,0.8,456
458,0.291667,0.8,457
459,0.233333,0.8,458
460,0.175,0.8,459
461,0.116667,0.8,460
462,0.0583333,0.8,461
463,0.,0.8,462
464,0.851847,0.523465,463
465,0.857342,0.546353,464
466,0.866349,0.568099,465
467,0.878647,0.588168,466
468,0.893934,0.606066,467
469,0.911832,0.621353,468
470,0.931901,0.633651,469
471,0.953647,0.642658,470
472,0.976535,0.648153,471
473,0.801231,0.535643,472
474,0.804894,0.570902,473
475,0.810899,0.605399,474
476,0.819098,0.638779,475
477,0.829289,0.670711,476
478,0.861221,0.680902,477
479,0.894601,0.689101,478
480,0.929098,0.695106,479
481,0.964357,0.698769,480
482,0.750616,0.547822,481
483,0.752447,0.595451,482
484,0.75545,0.6427,483
485,0.759549,0.689389,484
486,0.764645,0.735355,485
487,0.810611,0.740451,486
488,0.8573,0.74455,487
489,0.904549,0.747553,488
490,0.952178,0.749384,489
491,0.,0.44,490
492,0.,0.38,491
493,0.,0.32,492
494,0.,0.26,493
495,0.641667,0.26,494
496,0.641667,0.32,495
497,0.641667,0.38,496
498,0.641667,0.44,497
499,0.583333,0.26,498
500,0.583333,0.32,499
501,0.583333,0.38,500
502,0.583333,0.44,501
503,0.525,0.26,502
504,0.525,0.32,503
505,0.525,0.38,504
506,0.525,0.44,505
507,0.466667,0.26,506
508,0.466667,0.32,507
509,0.466667,0.38,508
510,0.466667,0.44,509
511,0.408333,0.26,510
512,0.408333,0.32,511
513,0.408333,0.38,512
514,0.408333,0.44,513
515,0.35,0.26,514
516,0.35,0.32,515
517,0.35,0.38,516
518,0.35,0.44,517
519,0.291667,0.26,518
520,0.291667,0.32,519
521,0.291667,0.38,520
522,0.291667,0.44,521
523,0.233333,0.26,522
524,0.233333,0.32,523
525,0.233333,0.38,524
526,0.233333,0.44,525
527,0.175,0.26,526
528,0.175,0.32,527
529,0.175,0.38,528
530,0.175,0.44,529
531,0.116667,0.26,530
532,0.116667,0.32,531
533,0.116667,0.38,532
534,0.116667,0.44,533
535,0.0583333,0.26,534
536,0.0583333,0.32,535
537,0.0583333,0.38,536
538,0.0583333,0.44,537
539,0.641667,1.,538
540,0.583333,1.,539
541,0.525,1.,540
542,0.466667,1.,541
543,0.408333,1.,542
544,0.35,1.,543
545,0.291667,1.,544
546,0.233333,1.,545
547,0.175,1.,546
548,0.116667,1.,547
549,0.0583333,1.,548
550,0.,1.,549
551,0.,0.933333,550
552,0.,0.866667,551
553,0.0583333,0.866667,552
554,0.116667,0.866667,553
555,0.175,0.866667,554
556,0.233333,0.866667,555
557,0.291667,0.866667,556
558,0.35,0.866667,557
559,0.408333,0.866667,558
560,0.466667,0.866667,559
561,0.525,0.866667,560
562,0.583333,0.866667,561
563,0.641667,0.866667,562
564,0.0583333,0.933333,563
565,0.116667,0.933333,564
566,0.175,0.933333,565
567,0.233333,0.933333,566
568,0.291667,0.933333,567
569,0.35,0.933333,568
570,0.408333,0.933333,569
571,0.466667,0.933333,570
572,0.525,0.933333,571
573,0.583333,0.933333,572
574,0.641667,0.933333,573
575,0.,0.74,574
576,0.,0.68,575
577,0.,0.62,576
578,0.,0.56,577
579,0.0583333,0.56,578
580,0.116667,0.56,579
581,0.175,0.56,580
582,0.233333,0.56,581
583,0.291667,0.56,582
584,0.35,0.56,583
585,0.408333,0.56,584
586,0.466667,0.56,585
587,0.525,0.56,586
588,0.583333,0.56,587
589,0.641667,0.56,588
590,0.0583333,0.62,589
591,0.116667,0.62,590
592,0.175,0.62,591
593,0.233333,0.62,592
594,0.291667,0.62,593
595,0.35,0.62,594
596,0.408333,0.62,595
597,0.466667,0.62,596
598,0.525,0.62,597
599,0.583333,0.62,598
600,0.641667,0.62,599
601,0.0583333,0.68,600
602,0.116667,0.68,601
603,0.175,0.68,602
604,0.233333,0.68,603
605,0.291667,0.68,604
606,0.35,0.68,605
607,0.408333,0.68,606
608,0.466667,0.68,607
609,0.525,0.68,608
610,0.583333,0.68,609
611,0.641667,0.68,610
612,0.0583333,0.74,611
613,0.116667,0.74,612
614,0.175,0.74,613
615,0.233333,0.74,614
616,0.291667,0.74,615
617,0.35,0.74,616
618,0.408333,0.74,617
619,0.466667,0.74,618
620,0.525,0.74,619
621,0.583333,0.74,620
622,0.641667,0.74,621
623,0.94,1.,622
624,0.88,1.,623
625,0.82,1.,624
626,0.76,1.,625
627,0.76,0.866667,626
628,0.82,0.866667,627
629,0.88,0.866667,628
630,0.94,0.866667,629
631,0.76,0.933333,630
632,0.82,0.933333,631
633,0.88,0.933333,632
634,0.94,0.933333,633
